#Time		Bitrate
0		811040
1		438400
2		964480
3		909680
4		263040
5		350720
6		438400
7		295920
8		580880
9		405520
10		361680
11		865840
12		438400
13		438400
14		701440
15		745280
16		679520
17		865840
18		263040
19		690480
20		328800
21		548000
22		756240
23		1128880
24		876800
25		1194640
26		1161760
27		1326160
28		613760
29		690480
30		657600
31		427440
32		350720
33		361680
34		394560
35		449360
36		295920
37		701440
38		460320
39		624720
40		306880
41		263040
42		339760
43		372640
44		602800
45		350720
46		295920
47		624720
48		460320
49		778160
50		394560
51		471280
52		405520
53		701440
54		493200
55		416480
56		591840
57		504160
58		328800
59		679520
60		997360
61		515120
62		504160
63		613760
64		548000
65		843920
66		767200
67		876800
68		767200
69		734320
70		449360
71		909680
72		482240
73		372640
74		898720
75		646640
76		427440
77		449360
78		515120
79		438400
80		569920
81		580880
82		449360
83		712400
84		865840
85		438400
86		712400
87		624720
88		482240
89		558960
90		745280
91		756240
92		504160
93		328800
94		854880
95		317840
96		646640
97		416480
98		558960
99		679520
100		504160
#Mean		587173.861386139
