#Time		Bitrate         Mean		482240
0		274000
1		383600
2		263040
3		416480
4		306880
5		482240
6		186320
7		10960
8		0
9		0
10		252080
11		175360
12		526080
13		438400
14		350720
15		909680
16		0
17		120560
18		339760
19		54800
20		416480
21		1194640
22		778160
23		0
24		0
25		0
26		0
27		580880
28		1994720
29		1983760
30		1994720
31		756240
32		0
33		263040
34		263040
35		350720
36		569920
37		1117920
38		0
39		0
40		0
41		1490560
42		2005680
43		460320
44		515120
45		306880
46		504160
47		405520
48		1030240
49		0
50		0
51		0
52		131520
53		438400
54		416480
55		120560
56		0
57		230160
58		372640
59		712400
60		537040
61		569920
62		284960
63		526080
64		449360
65		361680
66		657600
67		241120
68		0
69		548000
70		635680
71		635680
72		427440
73		438400
74		241120
75		284960
76		548000
77		295920
78		657600
79		263040
80		339760
81		317840
82		328800
83		361680
84		427440
85		142480
86		482240
87		701440
88		493200
89		405520
90		339760
91		986400
92		515120
93		427440
94		350720
95		284960
96		1885120
97		1994720
98		1994720
99		427440
100		0
