#Time		Video		Iperf		Sum
0.000		975440		0		975440
1.000		690480		0		690480
2.000		668560		0		668560
3.000		657600		0		657600
4.000		997360		0		997360
5.000		734320		0		734320
6.000		876800		0		876800
7.000		515120		0		515120
8.000		328800		0		328800
9.000		449360		0		449360
10.000		306880		0		306880
11.000		504160		0		504160
12.000		438400		0		438400
13.000		394560		0		394560
14.000		624720		0		624720
15.000		602800		0		602800
16.000		526080		0		526080
17.000		668560		0		668560
18.000		800080		0		800080
19.000		580880		0		580880
20.000		953520		0		953520
21.000		263040		0		263040
22.000		657600		0		657600
23.000		328800		0		328800
24.000		515120		0		515120
25.000		657600		0		657600
26.000		1041200		0		1041200
27.000		1030240		0		1030240
28.000		1117920		0		1117920
29.000		1183680		0		1183680
30.000		1161760		0		1161760
31.000		800080		0		800080
32.000		745280		0		745280
33.000		624720		0		624720
34.000		569920		0		569920
35.000		317840		0		317840
36.000		328800		0		328800
37.000		383600		0		383600
38.000		449360		573152		1022512
39.000		317840		759296		1077136
40.000		361680		1118928		1480608
41.000		602800		326464		929264
42.000		602800		524976		1127776
43.000		504160		642928		1147088
44.000		306880		887248		1194128
45.000		317840		844080		1161920
46.000		361680		829328		1191008
47.000		548000		667680		1215680
48.000		416480		704016		1120496
49.000		284960		888304		1173264
50.000		361680		784048		1145728
51.000		591840		574480		1166320
52.000		526080		712960		1239040
53.000		591840		527616		1119456
54.000		504160		724016		1228176
55.000		580880		572896		1153776
56.000		558960		598704		1157664
57.000		558960		643456		1202416
58.000		405520		749296		1154816
59.000		591840		572896		1164736
60.000		416480		783520		1200000
61.000		504160		656096		1160256
62.000		558960		595536		1154496
63.000		580880		645040		1225920
64.000		602800		549728		1152528
65.000		602800		575536		1178336
66.000		591840		620288		1212128
67.000		602800		573952		1176752
68.000		602800		550256		1153056
69.000		602800		573952		1176752
70.000		591840		632400		1224240
71.000		602800		547616		1150416
72.000		602800		619760		1222560
73.000		602800		620288		1223088
74.000		591840		478640		1070480
75.000		602800		597648		1200448
76.000		602800		574480		1177280
77.000		602800		572896		1175696
78.000		591840		619760		1211600
79.000		602800		527616		1130416
80.000		284960		890416		1175376
81.000		0		1147904		1147904
82.000		0		1171072		1171072
83.000		0		1182128		1182128
84.000		0		1285856		1285856
85.000		0		1054176		1054176
86.000		0		1590272		1590272
87.000		0		852528		852528
88.000		0		1067344		1067344
89.000		0		1392192		1392192
90.000		0		1020976		1020976
91.000		0		998864		998864
92.000		0		1195792		1195792
93.000		0		1231072		1231072
94.000		0		1046256		1046256
95.000		0		1207904		1207904
96.000		0		1093120		1093120
97.000		0		1178432		1178432
98.000		0		1121568		1121568
99.000		0		1144208		1144208
100.000		0		1156352		1156352
101.000		0		1178464		1178464
102.000		0		1239520		1239520
103.000		0		1057312		1057312
104.000		0		1218960		1218960
105.000		0		1069952		1069952
106.000		0		1430112		1430112
107.000		0		1081536		1081536
108.000		0		990448		990448
109.000		0		1213712		1213712
110.000		0		1117872		1117872
111.000		0		1112128		1112128
112.000		0		1153152		1153152
113.000		0		1145264		1145264
114.000		0		1191600		1191600
115.000		0		1250048		1250048
116.000		0		1035232		1035232
117.000		0		1178992		1178992
118.000		0		1215824		1215824
119.000		0		1222656		1222656
120.000		0		1385888		1385888
121.000		0		827744		827744
122.000		0		266960		266960
