#Time		Bitrate
0		405520
1		449360
2		263040
3		317840
4		471280
5		569920
6		734320
7		350720
8		383600
9		854880
10		909680
11		854880
12		745280
13		712400
14		526080
15		263040
16		263040
17		350720
18		471280
19		274000
20		569920
21		504160
22		241120
23		317840
24		284960
25		274000
26		394560
27		515120
28		328800
29		219200
30		405520
31		416480
32		690480
33		416480
34		471280
35		405520
36		493200
37		449360
38		350720
39		460320
40		515120
41		284960
42		712400
43		865840
44		361680
45		471280
46		537040
47		427440
48		624720
49		843920
50		624720
51		789120
52		438400
53		602800
54		712400
55		515120
56		372640
57		580880
58		372640
59		306880
60		383600
61		624720
62		306880
63		339760
64		558960
65		394560
66		591840
67		416480
68		515120
69		602800
70		526080
71		580880
72		438400
73		471280
74		712400
75		515120
76		548000
77		252080
78		383600
79		569920
80		328800
81		427440
82		504160
83		591840
84		613760
85		526080
86		493200
87		328800
88		274000
89		263040
90		449360
91		635680
92		350720
93		723360
94		493200
95		284960
96		569920
97		252080
98		350720
99		580880
100		580880
#Mean		482131.485148515
