1,832960,405520,438400
2,438400,449360,394560
3,394560,263040,537040
4,460320,317840,339760
5,767200,471280,405520
6,526080,569920,854880
7,668560,734320,372640
8,624720,350720,526080
9,756240,383600,690480
10,953520,854880,756240
11,274000,909680,613760
12,657600,854880,986400
13,328800,745280,219200
14,526080,712400,723360
15,471280,526080,263040
16,1205600,263040,526080
17,811040,263040,712400
18,898720,350720,1117920
19,1183680,471280,898720
20,898720,274000,942560
21,1249440,569920,1139840
22,843920,504160,1172720
23,580880,241120,1041200
24,756240,317840,778160
25,339760,284960,515120
26,274000,274000,668560
27,416480,394560,306880
28,482240,515120,252080
29,295920,328800,394560
30,679520,219200,558960
31,449360,405520,208240
32,624720,416480,756240
33,328800,690480,482240
34,306880,416480,537040
35,306880,471280,372640
36,394560,405520,295920
37,537040,493200,252080
38,405520,449360,515120
39,295920,350720,504160
40,668560,460320,317840
41,383600,515120,350720
42,493200,284960,690480
43,690480,712400,317840
44,317840,865840,537040
45,602800,361680,712400
46,548000,471280,241120
47,548000,537040,701440
48,493200,427440,591840
49,548000,624720,427440
50,427440,843920,591840
51,482240,624720,515120
52,526080,789120,339760
53,964480,438400,569920
54,668560,602800,580880
55,471280,712400,843920
56,504160,515120,745280
57,679520,372640,438400
58,504160,580880,460320
59,920640,372640,668560
60,964480,306880,865840
61,471280,383600,591840
62,997360,624720,920640
63,580880,306880,876800
64,832960,339760,602800
65,548000,558960,701440
66,427440,394560,822000
67,449360,591840,427440
68,931600,416480,515120
69,558960,515120,811040
70,427440,602800,493200
71,405520,526080,624720
72,548000,580880,427440
73,537040,438400,339760
74,548000,471280,679520
75,526080,712400,460320
76,580880,515120,493200
77,569920,548000,526080
78,887760,252080,690480
79,591840,383600,460320
80,558960,569920,986400
81,646640,328800,591840
82,493200,427440,449360
83,613760,504160,767200
84,767200,591840,482240
85,591840,613760,515120
86,438400,526080,778160
87,843920,493200,679520
88,328800,328800,394560
89,274000,274000,843920
90,756240,263040,328800
91,504160,449360,252080
92,580880,635680,800080
93,668560,350720,515120
94,843920,723360,493200
95,482240,493200,789120
96,526080,284960,843920
97,690480,569920,504160
98,317840,252080,416480
99,339760,350720,745280
100,361680,580880,263040
